Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1μF,C_0603_1608Metric,-69.5452,16.7515,-90,top
C2,0.1μF,C_0603_1608Metric,-67.6148,20.4469,-90,top
C4,0.1μF,C_0603_1608Metric,-69.5452,19.9389,-90,top
D1,LED,LED_0603_1608Metric,-60.706,23.622,-90,top
J1,UPDI_PROGRAMMER,PinHeader_1x03_P2.54mm_Vertical,-69.215,31.242,90,top
R1,5.1K 0402,R_0402_1005Metric,-67.0052,16.0019,-90,top
R2,5.1K 0402,R_0402_1005Metric,-63.4746,16.0039,-90,top
R3,220 0402,R_0402_1005Metric,-60.9092,16.4865,90,top
R4,5.6K 0402,R_0402_1005Metric,-62.3316,18.0867,90,top
R5,10k,R_0402_1005Metric,-62.3316,16.0039,90,top
R6,5.1K 0402,R_0402_1005Metric,-60.704,21.5137,0,top
R7,5.1K 0402,R_0402_1005Metric,-60.704,20.4469,180,top
R8,5.1K 0402,R_0402_1005Metric,-66.675,33.782,0,top
U1,CH340E,MSOP-10_3x3mm_P0.5mm,-64.8716,20.2691,90,top
USB1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,-65.2272,6.1511,0,top
